X	Y p0=(0.5, 60.0,-0.1)
0.000	1.055368
1.720	1.057713
3.440	1.059876
5.160	1.060969
6.880	1.061873
8.600	1.062910
10.319	1.063920
12.039	1.065032
13.759	1.066209
15.479	1.067221
17.199	1.068415
18.919	1.069380
20.639	1.070399
22.359	1.070846
24.079	1.071289
25.799	1.070877
27.519	1.070357
29.239	1.069652
30.958	1.068103
32.678	1.066232
34.398	1.063476
36.118	1.060505
37.838	1.057532
39.558	1.054508
41.278	1.052145
42.998	1.049667
44.718	1.046910
46.438	1.044929
48.158	1.044118
49.878	1.042879
51.597	1.041290
53.317	1.039313
55.037	1.037056
56.757	1.034323
58.477	1.030965
60.197	1.026981
61.917	1.022340
63.637	1.016631
65.357	1.008824
67.077	0.999129
68.797	0.988371
70.516	0.976444
72.236	0.963235
73.956	0.947323
75.676	0.928783
77.396	0.906330
79.116	0.880881
80.836	0.852978
82.556	0.820640
84.276	0.787577
85.996	0.754958
87.716	0.722676
89.436	0.692536
91.155	0.666335
92.875	0.641046
94.595	0.618954
96.315	0.599741
98.035	0.581528
99.755	0.565521
101.475	0.552091
103.195	0.541056
104.915	0.530415
106.635	0.520512
108.355	0.511590
110.074	0.503673
111.794	0.497112
113.514	0.491527
115.234	0.487078
116.954	0.483245
118.674	0.480677
120.394	0.478899
122.114	0.478061
123.834	0.478203
125.554	0.479750
127.274	0.482209
128.994	0.485835
130.713	0.490383
132.433	0.497148
134.153	0.505164
135.873	0.514618
137.593	0.526127
139.313	0.540332
141.033	0.558250
142.753	0.580426
144.473	0.605917
146.193	0.633891
147.913	0.662324
149.633	0.691414
151.352	0.720346
153.072	0.748978
154.792	0.774213
156.512	0.798791
158.232	0.821977
159.952	0.844359
161.672	0.864800
163.392	0.881669
165.112	0.896036
166.832	0.908234
168.552	0.919374
170.271	0.928100
171.991	0.934871
173.711	0.940142
175.431	0.944699
177.151	0.947782
178.871	0.949877
180.591	0.950675
182.311	0.950690
184.031	0.949832
185.751	0.947570
187.471	0.943954
189.191	0.938506
190.910	0.931829
192.630	0.923447
194.350	0.913489
196.070	0.901485
197.790	0.885590
199.510	0.865239
201.230	0.842082
202.950	0.815746
204.670	0.787121
206.390	0.757147
208.110	0.726196
209.830	0.695224
211.549	0.665079
213.269	0.636568
214.989	0.612219
216.709	0.590795
218.429	0.571187
220.149	0.552861
221.869	0.536334
223.589	0.523003
225.309	0.512259
227.029	0.503162
228.749	0.495166
230.468	0.488607
232.188	0.483423
233.908	0.479542
235.628	0.476356
237.348	0.474269
239.068	0.472981
240.788	0.472626
242.508	0.473142
244.228	0.473789
245.948	0.474501
247.668	0.475127
