X	Y
0.000	0.489831
3.360	0.493335
6.720	0.501435
10.080	0.515949
13.440	0.539408
16.800	0.568130
20.160	0.604487
23.520	0.652191
26.880	0.698805
30.240	0.746259
33.599	0.791901
36.959	0.828960
40.319	0.857321
43.679	0.875811
47.039	0.887283
50.399	0.898610
53.759	0.908740
57.119	0.917006
60.479	0.921355
63.839	0.919415
67.199	0.910718
70.559	0.893838
73.919	0.870570
77.279	0.838880
80.639	0.797982
83.999	0.748468
87.359	0.694242
90.719	0.643605
94.079	0.598918
97.438	0.560611
100.798	0.533627
104.158	0.514353
107.518	0.502172
110.878	0.493401
114.238	0.483791
117.598	0.477782
120.958	0.472271
124.318	0.468739
127.678	0.471520
131.038	0.482562
134.398	0.495390
137.758	0.511407
141.118	0.533845
144.478	0.566082
147.838	0.609640
151.198	0.660212
154.558	0.714536
157.918	0.766681
161.277	0.810894
164.637	0.848887
167.997	0.877788
171.357	0.897968
174.717	0.911320
178.077	0.920938
181.437	0.928743
184.797	0.935589
188.157	0.935855
191.517	0.928741
194.877	0.913698
198.237	0.890390
201.597	0.860025
204.957	0.822452
208.317	0.781357
211.677	0.733710
215.037	0.680292
218.397	0.633342
221.757	0.594700
225.116	0.566191
228.476	0.543136
231.836	0.527105
235.196	0.515382
238.556	0.505965
241.916	0.495437
245.276	0.486581
248.636	0.483707
251.996	0.488930
255.356	0.493166
258.716	0.495108
262.076	0.501307
265.436	0.519000
268.796	0.545421
272.156	0.583292
275.516	0.622775
278.876	0.671100
282.236	0.719210
285.595	0.769006
288.955	0.810165
292.315	0.843377
295.675	0.869379
299.035	0.892488
302.395	0.908494
305.755	0.915997
309.115	0.922712
312.475	0.928318
315.835	0.927657
319.195	0.917015
322.555	0.900171
325.915	0.878215
329.275	0.850266
332.635	0.814727
335.995	0.769013
339.355	0.719724
342.715	0.665372
346.075	0.617620
349.434	0.571274
352.794	0.535286
356.154	0.508539
359.514	0.492869
362.874	0.485327
366.234	0.481406
369.594	0.478046
372.954	0.473158
376.314	0.471005
379.674	0.473005
383.034	0.478492
386.394	0.487925
389.754	0.504332
393.114	0.525693
396.474	0.553698
399.834	0.589375
403.194	0.635730
406.554	0.690893
409.914	0.745356
413.273	0.791342
416.633	0.831913
419.993	0.862141
423.353	0.893220
426.713	0.916059
430.073	0.930140
433.433	0.936623
436.793	0.938181
440.153	0.937987
443.513	0.936700
446.873	0.929444
450.233	0.915074
453.593	0.890263
456.953	0.856674
460.313	0.815732
463.673	0.764708
467.033	0.711100
470.393	0.659715
473.753	0.613738
477.112	0.571305
480.472	0.536961
483.832	0.514565
487.192	0.498682
490.552	0.485564
493.912	0.471009
497.272	0.456703
500.632	0.448401
503.992	0.444796
507.352	0.446699
510.712	0.454833
514.072	0.468017
517.432	0.484769
520.792	0.509764
524.152	0.543394
527.512	0.587222
530.872	0.636853
534.232	0.686961
537.591	0.738055
540.951	0.786589
544.311	0.833013
547.671	0.870047
551.031	0.893839
554.391	0.910518
557.751	0.922914
561.111	0.933116
564.471	0.937794
567.831	0.940728
571.191	0.934300
574.551	0.921163
577.911	0.904791
581.271	0.882412
584.631	0.847958
587.991	0.802158
591.351	0.754962
594.711	0.704453
598.071	0.655026
601.430	0.608064
604.790	0.567508
608.150	0.527598
611.510	0.496925
614.870	0.476598
618.230	0.465236
621.590	0.454333
624.950	0.449446
628.310	0.450215
631.670	0.451791
635.030	0.456199
638.390	0.460756
641.750	0.473359
645.110	0.496100
648.470	0.528341
651.830	0.565461
655.190	0.606949
658.550	0.653545
661.910	0.706365
665.269	0.760036
668.629	0.807623
671.989	0.849462
675.349	0.883837
678.709	0.911053
682.069	0.929013
685.429	0.944229
688.789	0.958106
692.149	0.963295
695.509	0.958493
698.869	0.945469
702.229	0.926929
705.589	0.901797
708.949	0.872982
712.309	0.836801
715.669	0.790223
719.029	0.734994
722.389	0.677702
725.749	0.627105
729.108	0.582378
732.468	0.546220
735.828	0.519118
739.188	0.499128
742.548	0.487622
745.908	0.478606
749.268	0.472468
752.628	0.470127
755.988	0.468167
759.348	0.469780
762.708	0.475173
766.068	0.485570
769.428	0.500125
772.788	0.522945
776.148	0.554962
779.508	0.591698
782.868	0.634450
786.228	0.683329
789.588	0.730484
792.947	0.776035
796.307	0.817922
799.667	0.855517
803.027	0.882646
806.387	0.903803
809.747	0.920453
813.107	0.933028
816.467	0.941648
819.827	0.947125
823.187	0.944469
826.547	0.930085
829.907	0.909407
833.267	0.886164
836.627	0.857898
839.987	0.822100
843.347	0.776925
846.707	0.724311
850.067	0.670970
853.427	0.621293
856.786	0.573858
860.146	0.532515
863.506	0.500736
866.866	0.481512
870.226	0.468968
873.586	0.458904
876.946	0.450923
880.306	0.449781
883.666	0.453700
887.026	0.458072
890.386	0.465812
893.746	0.477650
897.106	0.495264
900.466	0.519415
903.826	0.550014
907.186	0.588780
910.546	0.631413
913.906	0.681610
917.266	0.733015
920.625	0.784957
923.985	0.830823
927.345	0.867519
930.705	0.895796
934.065	0.915591
937.425	0.928623
940.785	0.938570
944.145	0.943527
947.505	0.943992
950.865	0.939866
954.225	0.930061
957.585	0.910102
960.945	0.881064
964.305	0.844452
967.665	0.808341
971.025	0.764198
